name,category,year
TechCrunch Startup of the Year 2019,Industry,2019
TechCrunch Startup of the Year 2021,Industry,2021
Forbes Cloud 100 2020,Industry,2020
Forbes Cloud 100 2022,Industry,2022
CES Innovation Award 2018,Product,2018
CES Innovation Award 2020,Product,2020
Fast Company Most Innovative 2019,Industry,2019
Fast Company Most Innovative 2021,Industry,2021
Webby Award Best Fintech App 2018,Product,2018
Webby Award Best HealthTech App 2020,Product,2020
EU Sustainability Prize 2019,Impact,2019
EU Sustainability Prize 2021,Impact,2021
Founder of the Year 2020,Individual,2020
Founder of the Year 2022,Individual,2022
Women in Tech Leadership Award 2019,Individual,2019
Women in Tech Leadership Award 2021,Individual,2021
Deloitte Fast 500 2020,Industry,2020
Deloitte Fast 500 2022,Industry,2022
MIT TR35 Innovator 2018,Individual,2018
MIT TR35 Innovator 2020,Individual,2020
