name,founded,sector,headquarters,valuation_billion,description
NovaPay,2016.0,Fintech,San Francisco,12.5,"A digital payments platform enabling instant cross-border transfers for small businesses."
HealthLoop,2015,HealthTech,Boston,6.2,"An AI-driven platform that connects patients with clinicians and monitors chronic conditions remotely."
GreenGrid,2017,CleanTech,Stockholm,4.8,"A smart-grid company optimizing renewable energy distribution across cities."
DataForge,2014,ai,San Francisco,18,"A machine learning infrastructure company providing model training and deployment tools."
ShopSphere,2013,E-commerce,Austin,9.4,"A headless commerce platform powering online stores for mid-market retailers."
CloudNest,2012,Cloud,San Jose,22.3,"A cloud hosting provider specializing in serverless computing for developers."
EduSpark,2018,EdTech,Bangalore,,"An adaptive learning platform delivering personalized STEM courses to students worldwide."
AgriSense,2016,AgriTech,Sao Paulo,2.4,"IoT sensors and analytics that help farmers improve crop yields and reduce water use."
SecureLayer,2015,Cybersecurity,Tel Aviv,7.9,"A zero-trust security platform protecting enterprises from network intrusions."
MobiliT,2017,Mobility,Berlin,5.6,"An electric scooter and micro-mobility sharing network across European cities."
FoodChain,2019,FoodTech,Lagos,1.2,"A supply chain platform connecting farmers directly with urban restaurants and grocers."
QuantumLeap,2018,DeepTech,Munich,3.8,"A quantum computing startup building error-corrected qubits for optimization problems."
StreamWave,2014,Media,Los Angeles,8.7,"A video streaming infrastructure company powering live events at global scale."
BioNova,2016,BioTech,Cambridge,6.9,"A biotech firm developing mRNA-based therapies for rare genetic diseases."
PropertyPro,2013,PropTech,London,4.2,"A real estate marketplace using AI to match buyers with properties and predict prices."
LogiFlow,2015,Logistics,Singapore,5.1,"A logistics optimization platform routing freight across Southeast Asian ports."
PayCircle,2019,Fintech,Dubai,2,"A neobank for gig-economy workers offering instant payouts and micro-loans."
VirtualForge,2017,AR/VR,Seoul,3.3,"An augmented reality platform for industrial training and remote maintenance."
CarbonZero,2018,CleanTech,Copenhagen,2.7,"A carbon accounting platform helping enterprises measure and offset emissions."
MediChain,2016,HealthTech,Toronto,3.9,"A blockchain-based health records system giving patients control over their data."
RetailIQ,2014,Retail,Paris,4.6,"A retail analytics platform predicting demand and optimizing store inventory."
SkyRoute,2015,Aerospace,Seattle,6.4,"A drone delivery network operating in rural and hard-to-reach regions."
TalentHub,2017,HRTech,Dublin,2.9,"A recruitment platform using AI to match candidates with roles and reduce bias."
GameForge,2013,Gaming,Tokyo,7.2,"A cloud gaming studio publishing cross-platform multiplayer titles."
InsureWise,2016,InsurTech,Zurich,3.5,"An insurance platform offering usage-based policies powered by real-time data."
VoiceCraft,2019,AI,San Francisco,4,"A conversational AI company building natural-sounding voice assistants for enterprises."
UrbanFarm,2018,AgriTech,Amsterdam,1.8,"A vertical farming company growing produce inside city warehouses year-round."
FinLedger,2012,Fintech,New York City,14.1,"An accounting automation platform for small and medium businesses."
GreenGrid,2017,CleanTech,Stockholm,4.8,"A smart-grid company optimizing renewable energy distribution across cities."
