company_name,product_name
NovaPay,NovaPay Wallet
NovaPay,NovaPay Business
HealthLoop,LoopCare
GreenGrid,GridOptimizer
DataForge,ForgeML
DataForge,ForgeServe
ShopSphere,SphereStore
CloudNest,NestServerless
EduSpark,SparkLearn
AgriSense,SenseField
SecureLayer,ShieldNet
MobiliT,MobiliT Go
FoodChain,FoodChain Connect
QuantumLeap,QubitOne
StreamWave,WaveCast
BioNova,NovaTherapy
PropertyPro,PropMatch
LogiFlow,FlowRoute
VoiceCraft,VoiceCraft Studio
UrbanFarm,HarvestTower
FinLedger,LedgerBooks
SkyRoute,SkyDrop
NovaPay,NovaPay Wallet
"DataForge ",ForgeML
