founder_name,company_name,year
Elena Rossi,NovaPay,2016
Marcus Chen,DataForge,2014
Marcus Chen,VoiceCraft,2019
Priya Nair,EduSpark,2018
David Okafor,FoodChain,2019
Sofia Lindqvist,GreenGrid,2017
James Whitfield,ShopSphere,2013
Yuki Tanaka,GameForge,2013
Aisha Rahman,PayCircle,2019
Tomas Herrera,AgriSense,2016
Nadia Volkov,MobiliT,2017
Liam O'Brien,TalentHub,2017
Grace Kim,VirtualForge,2017
Omar Haddad,SecureLayer,2015
Isabella Ferreira,AgriSense,2016
Ethan Brooks,CloudNest,2012
Ethan Brooks,FinLedger,2012
Mei Ling,RetailIQ,2014
Rafael Santos,PropertyPro,2013
Hannah Schmidt,QuantumLeap,2018
Arjun Mehta,HealthLoop,2015
Chloe Dubois,CarbonZero,2018
Sofia Lindqvist,CarbonZero,2018
Michael Torres,StreamWave,2014
Aisha Rahman,InsureWise,2016
David Okafor,SkyRoute,2015
Grace Kim,MediChain,2016
Priya Nair,UrbanFarm,2018
Rafael Santos,LogiFlow,2015
Omar Haddad,BioNova,2016
Marcus Chen,DataForge,2014
