name,born,role,hometown
Elena Rossi,1985,Founder,Milan
Marcus Chen,1979,founder,San Francisco
Priya Nair,1988,Founder,Bangalore
David Okafor,1982,Founder,Lagos
Sofia Lindqvist,1990,Founder,Stockholm
James Whitfield,1975,Founder,Austin
Yuki Tanaka,1986,Founder,Tokyo
Aisha Rahman,1991,Founder,Dubai
Tomas Herrera,1983,Founder,Mexico City
Nadia Volkov,1987,Founder,Berlin
Liam O'Brien,1980,Founder,Dublin
Grace Kim,1989,Founder,Seoul
Omar Haddad,1984,Founder,
Isabella Ferreira,1992,Founder,Sao Paulo
Ethan Brooks,1977,Founder,Boston
Mei Ling,1985,Founder,Shanghai
Rafael Santos,1981,Founder,Lisbon
Hannah Schmidt,1990,Founder,Munich
Arjun Mehta,1986,Founder,Mumbai
Chloe Dubois,1988,Founder,Paris
Robert Nguyen,1972,CEO,San Jose
Linda Park,1976,CEO,Los Angeles
Samuel Adeyemi,1979,CTO,Nairobi
Fatima Al-Sayed,1983,CTO,Riyadh
Victor Petrov,1974,COO,Prague
Emma Larsson,1987,CPO,Oslo
Daniel Cohen,1981,CFO,Tel Aviv
Ananya Iyer,1990,CTO,Hyderabad
Michael Torres,1978,CEO,Miami
Sarah Bennett,1985,CMO,London
Elena Rossi,1985,Founder,Milan
