name,category,launch_year
NovaPay Wallet,Mobile App,2016
NovaPay Business,SaaS,2018
LoopCare,Mobile App,2016
GridOptimizer,Platform,2018
ForgeML,Developer Tool,2015
ForgeServe,Developer Tool,
SphereStore,SaaS,2014
NestServerless,Cloud Service,2013
SparkLearn,Mobile App,2018
SenseField,IoT Device,2017
ShieldNet,Security Suite,2016
MobiliT Go,Mobile App,2017
FoodChain Connect,Platform,2019
QubitOne,Hardware,2020
WaveCast,Cloud Service,2015
NovaTherapy,Biotech Product,2019
PropMatch,Platform,2014
FlowRoute,SaaS,2016
VoiceCraft Studio,Developer Tool,2019
HarvestTower,Hardware,2019
LedgerBooks,SaaS,2013
SkyDrop,Platform,2016
