person_name,company_name,role,current
Robert Nguyen,CloudNest,CEO,yes
Linda Park,StreamWave,CEO,Y
Samuel Adeyemi,FoodChain,CTO,TRUE
Fatima Al-Sayed,SecureLayer,CTO,TRUE
Victor Petrov,QuantumLeap,COO,TRUE
Emma Larsson,GreenGrid,CPO,TRUE
Daniel Cohen,SecureLayer,CFO,TRUE
Ananya Iyer,HealthLoop,CTO,TRUE
Michael Torres,StreamWave,CEO,TRUE
Sarah Bennett,PropertyPro,CMO,TRUE
Elena Rossi,NovaPay,CEO,TRUE
Marcus Chen,DataForge,Executive Chairman,TRUE
Marcus Chen,VoiceCraft,CEO,TRUE
Priya Nair,EduSpark,CEO,TRUE
Grace Kim,VirtualForge,CEO,TRUE
Grace Kim,MediChain,Board Member,FALSE
Ethan Brooks,CloudNest,Board Member,FALSE
Ethan Brooks,FinLedger,CEO,TRUE
Robert Nguyen,DataForge,Advisor,FALSE
Ananya Iyer,DataForge,Engineer,FALSE
Sofia Lindqvist,GreenGrid,CEO,TRUE
Yuki Tanaka,GameForge,CEO,TRUE
Fatima Al-Sayed,DataForge,Engineer,FALSE
Sarah Bennett,NovaPay,Marketing Lead,FALSE
Daniel Cohen,NovaPay,Advisor,FALSE
elena rossi,novapay,Founder,TRUE
